rho[kg/m^3]	drho[kg/m^3]	P[Pa]	dP[Pa]	T[K]	dT[K]	V[m^3/mol]	dV[m^3/mol]
1.6867e3	5e-2	4.46e9	3e7	380.3	0.4	1.0681e-5	3e-10
1.6890e3	5e-2	4.60e9	3e7	380.3	0.4	1.0666e-5	3e-10
1.7024e3	5e-2	4.94e9	3e7	380.3	0.4	1.0582e-5	3e-10
1.7185e3	5e-2	5.28e9	3e7	380.3	0.4	1.0483e-5	3e-10
1.7537e3	5e-2	6.04e9	3e7	380.2	0.4	1.0273e-5	3e-10
1.7933e3	5e-2	6.88e9	2e7	380.3	0.4	1.0046e-5	3e-10
1.8345e3	6e-2	7.98e9	3e7	380.2	0.4	9.8200e-6	3e-10
1.8628e3	6e-2	8.89e9	3e7	380.2	0.4	9.6710e-6	3e-10
1.8721e3	6e-2	9.06e9	3e7	380.2	0.4	9.6231e-6	3e-10
1.8838e3	6e-2	9.43e9	3e7	380.2	0.4	9.5632e-6	3e-10
1.8971e3	6e-2	9.69e9	2e7	380.2	0.4	9.4963e-6	3e-10
1.7342e3	5e-2	5.71e9	5e7	380.2	0.4	1.0388e-5	3e-10
1.7230e3	5e-2	5.64e9	5e7	450.6	0.4	1.0456e-5	3e-10
1.7225e3	5e-2	5.71e9	6e7	450.7	0.4	1.0459e-5	3e-10
1.7346e3	5e-2	6.14e9	7e7	451.1	0.4	1.0386e-5	3e-10
1.7421e3	5e-2	6.37e9	3e7	451.1	0.4	1.0341e-5	3e-10
1.7494e3	5e-2	6.55e9	2e7	451.2	0.4	1.0298e-5	3e-10
1.7686e3	5e-2	6.94e9	2e7	449.9	0.4	1.0186e-5	3e-10
1.7853e3	5e-2	7.27e9	3e7	449.9	0.4	1.0091e-5	3e-10
1.8066e3	5e-2	7.82e9	3e7	449.9	0.4	9.9721e-6	3e-10
1.8370e3	6e-2	8.58e9	4e7	449.9	0.4	9.8071e-6	3e-10
1.8873e3	6e-2	1.011e10	3e7	449.9	0.4	9.5457e-6	3e-10
1.8795e3	6e-2	9.67e9	3e7	450	0.4	9.5851e-6	3e-10
1.8728e3	6e-2	9.37e9	4e7	450.1	0.4	9.6195e-6	3e-10
1.6576e3	5e-2	4.25e9	5e7	450.1	0.4	1.0868e-5	3e-10
1.6673e3	5e-2	4.39e9	5e7	449.7	0.4	1.0805e-5	3e-10
1.6925e3	5e-2	4.83e9	5e7	449.8	0.4	1.0644e-5	3e-10
1.7112e3	1e-1	5.12e9	5e7	449.9	0.4	1.0528e-5	6e-10
